STRA_CN,STSC_CN,DESCR,STRATUM_METH,SAMP_METH,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
376849152489998,376861398489998,451501: 0-47% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:43:55 PM,489998,,,
376849154489998,376861398489998,451501: 48-84% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:43:54 PM,489998,,,
376849155489998,376861398489998,451501: 85-100% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:43:55 PM,489998,,,
376849156489998,376861398489998,451501: 00-10% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:43:55 PM,489998,,,
376849157489998,376861398489998,451501: 11-47% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:43:55 PM,489998,,,
376849158489998,376861398489998,451501: 48-84% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:43:55 PM,489998,,,
376849159489998,376861398489998,451501: 85-100% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:43:56 PM,489998,,,
376849160489998,376861398489998,451501: 0-47% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:43:57 PM,489998,,,
376849162489998,376861398489998,451501: 48-84% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:43:56 PM,489998,,,
376849163489998,376861398489998,451501: 85-100% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:43:56 PM,489998,,,
376849164489998,376861398489998,451501: 00-91% CANOPY_COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:43:56 PM,489998,,,
376849165489998,376861398489998,451501: 92-97% CANOPY_COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:43:56 PM,489998,,,
376849166489998,376861398489998,451501: 98-100% CANOPY_COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:43:56 PM,489998,,,
376849167489998,376861399489998,451503: 0-47% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:44:05 PM,489998,,,
376849169489998,376861399489998,451503: 48-84% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:44:03 PM,489998,,,
376849170489998,376861399489998,451503: 85-100% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:44:04 PM,489998,,,
376849171489998,376861399489998,451503: 00-10% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:44:06 PM,489998,,,
376849172489998,376861399489998,451503: 11-47% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:44:06 PM,489998,,,
376849173489998,376861399489998,451503: 48-84% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:44:07 PM,489998,,,
376849174489998,376861399489998,451503: 85-100% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:44:07 PM,489998,,,
376849175489998,376861399489998,451503: 0-47% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:44:10 PM,489998,,,
376849177489998,376861399489998,451503: 48-84% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:44:08 PM,489998,,,
376849178489998,376861399489998,451503: 85-100% CANOPY COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:44:09 PM,489998,,,
376849179489998,376861399489998,451503: 00-91% CANOPY_COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:44:08 PM,489998,,,
376849180489998,376861399489998,451503: 92-97% CANOPY_COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:44:08 PM,489998,,,
376849181489998,376861399489998,451503: 98-100% CANOPY_COVER,KNOWN,post-stratification,FIADB,3/7/2016 3:44:08 PM,489998,,,
